,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
369,NCT03794388,3,"Active, not recruiting",breast cancer,CAPSAICIN,Vanilloid receptor opener,OPENER,transient receptor potential cation channel subfamily V member 1,TRPV1,Small molecule,"Breast cancer is the most common cancer in women in Europe. Therefore, breast cancer has become a chronic disease and patients need to learn to live with it as well as with the adverse effects related to the disease itself or to the therapies used.

As noted in the third ""Plan cancer"", pain is a major criterion in the quality of life of patients treated for breast cancer.

Neuropathic pain was defined in 2011 by the international Association for the Study of Pain (I.A.S.P.) as the direct result of a lesion or disease affecting the somato-sensory system.

Surgical treatment is often the first treatment of breast cancer. It can be conservative by performing a partial mastectomy (lumpectomy or quadrantectomy) or non-preservative by total mastectomy.

Intercostobrachial neuralgia (NICB) or Post mastectomy painful Syndrome (MPRR) was first described by Wood in 1978 as ""chronic pain beginning immediately or early after a mastectomy"" Or a lumpectomy affecting the anterior thorax, armpit and/or arm in its upper half. These post-surgical pains are related to a lesion of the nerves in the breast area.

In particular, the intercostobrachial nerve can be severed, stretched or crushed during surgery.

Post-operative neuropathic pain in patients with breast cancer is underdiagnosed either by general practitioner or in a specialized environment.

The diagnosis of neuropathic pain is performed during examination and clinical examination. Several scales allow to detect neuropathic pain but only the DN4 is recognized to be the most specific and sensitive scale.

Patients do not always express this pain. They do not always reconcile with the surgery. Either because the pain occurs a long time after the surgery, or they find it normal to get hurt. These diagnostic difficulties cause a delay in setting up a suitable analgesic treatment.

However, neuropathic pain responds poorly to common analgesics. Diagnosis, evaluation and early management of neuropathic pain are a priority in order to avoid their chronicization, to improve the quality of life of patients with breast cancer and to enable them to return to work quickly.

We therefore assume that the diagnosis of early neuropathic pain at 2 months of surgery associated with initiation of appropriate topical treatment without the systemic effects of conventional oral treatments, would reduce the incidence of Chronic neuropathic pain 6 months after surgery.",no,NA
136,NCT01091168,3,Completed,breast cancer,VINFLUNINE,Tubulin inhibitor,INHIBITOR,tubulin alpha 3c,TUBA3C,Small molecule,"In metastatic breast cancer (MBC) patients who have already received anthracyclines, taxanes, antimetabolites and vinca-alkaloids and have developed drug resistance to these drugs, therapeutic options are very limited. Alkylating agents showed a modest activity in pretreated metastatic breast cancer. This phase III trial will compare the effectiveness and the safety profile of vinflunine to an alkylating agent of physician choice in MBC patients who have exhausted anthracyclines, taxanes, antimetabolites and vinca-alkaloids.",yes,NA
40,NCT00081796,3,Completed,breast cancer,LAROTAXEL,Tubulin stabiliser,STABILISER,tubulin beta 1 class VI,TUBB1,Small molecule,The purpose of this clinical trial is to determine if RPR109881 is a better treatment than capecitabine (Xeloda) for advanced breast cancer in patients that no longer benefit from docetaxel and/or paclitaxel.,yes,NA
52,NCT00148707,2,Completed,breast cancer,PACLITAXEL POLIGLUMEX,Tubulin stabiliser,STABILISER,tubulin beta 2A class IIa,TUBB2A,Small molecule,The purpose of this study is to collect information on what effects (good or bad) CT-2103 (Xyotax) has on breast cancer as well as any side effects the drug may cause.,yes,NA
137,NCT01094184,4,Completed,breast cancer,PACLITAXEL,Tubulin inhibitor,INHIBITOR,tubulin beta 2A class IIa,TUBB2A,Small molecule,"This open-label, multi-center study will evaluate the safety, tolerability and effect of bevacizumab (Avastin) in combination with taxane (paclitaxel/ docetaxel) monotherapy on disease progression, survival time and Karnofsky performance status in female participants with estrogen-, progesterone- and human epidermal growth factor receptor 2 (HER2)-negative (triple-negative) breast cancer.",yes,TNBC
82,NCT00450866,2,Completed,breast cancer,PATUPILONE,Tubulin stabiliser,STABILISER,tubulin beta 3 class III,TUBB3,Small molecule,"RATIONALE: Drugs used in chemotherapy, such as epothilone B, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing.

PURPOSE: This phase II trial is studying how well epothilone B works in treating patients with CNS metastases from breast cancer.",yes,NA
193,NCT01693549,2,Completed,breast cancer,CABAZITAXEL,Tubulin inhibitor,INHIBITOR,tubulin beta 3 class III,TUBB3,Small molecule,The purpose of this study is to determine whether cabazitaxel is effective in the treatment of metastatic breast cancer.,yes,NA
332,NCT03355157,4,Recruiting,breast cancer,VINORELBINE,Tubulin inhibitor,INHIBITOR,tubulin beta 3 class III,TUBB3,Small molecule,"The goal of the study for patients with metastatic breast cancer (MBC) is to show that palbociclib + endocrine therapy shows a significant improvement in time-to-treatment failure over chemotherapy regimen (mono-chemotherapy with or without endocrine therapy). This would provide level 1 evidence from real world that palbociclib plus endocrine therapy is the first choice in MBC patients needing first-line therapy not only compared to endocrine therapy but also compared to chemotherapy with or without endocrine maintenance therapy.

In addition, we assume that patient-reported outcome as measured by FACT-B and a novel composite endpoint of well-being and healthcare utilization (DMTI) will be improved with palbociclib + endocrine treatment vs. chemotherapy regimen.",yes,NA
37,NCT00080301,3,Completed,breast cancer,IXABEPILONE,Tubulin inhibitor,INHIBITOR,tubulin beta 4A class IVa,TUBB4A,Small molecule,The purpose of this clinical research study is to learn if BMS-247550 added to the approved therapy of capecitabine is better than capecitabine alone in shrinking or slowing the growth of the cancer in women with metastatic breast cancer who are resistant to taxane and received anthracycline chemotherapy. The safety of this treatment will also be studied.,yes,NA
389,NCT04136782,4,Recruiting,breast cancer,DOCETAXEL,Tubulin inhibitor,INHIBITOR,tubulin beta 4A class IVa,TUBB4A,Small molecule,To investigate the efficacy of albumin-bound paclitaxel combined with carboplatin versus epirubicin combined with docetaxel as neoadjuvant therapy for triple-negative breast cancer.,yes,TNBC
287,NCT02864030,4,Completed,breast cancer,ERIBULIN MESYLATE,Tubulin inhibitor,INHIBITOR,tubulin beta 6 class V,TUBB6,Small molecule,"On March 17th, 2011, the European Commission issued a marketing authorization valid throughout the European Union for Eribulin mesylate (Halaven; Eisai Limited), for the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapic regimens for advanced disease.

As the use of Eribulin will be widespread in this tumor setting, a better knowledge of its safety profile outside clinical trials is warranted.

Indeed the possibility to select patients at risk for developing Eribulin-induced neuropathy, will allow the exclusion from these treatment of those patients harbouring the specific single nucleotide polymorphism (SNP). Given that Eribulin toxicity often results in treatment discontinuation, the ability to anticipate which patients will experience severe toxicity could allow for either early intervention or even possibly for prophylactic therapy, or for selection of the patients to be treated.",yes,NA
64,NCT00288249,2,Completed,breast cancer,SAGOPILONE,Tubulin stabiliser,STABILISER,tubulin beta 8 class VIII,TUBB8,Small molecule,The purpose of this study is to determine whether the study drug is effective and safe in the treatment of patients with metastatic breast cancer,yes,NA
70,NCT00337649,1,Completed,breast cancer,EPOTHILONE D,Tubulin stabiliser,STABILISER,tubulin beta 8 class VIII,TUBB8,Small molecule,"This single arm study will determine the efficacy and safety of an epothilone D and Herceptin combination regimen in patients with HER-2 positive locally advanced or metastatic breast cancer. Epothilone D will be administered intravenously on days 1, 8 and 15 every 4 weeks at a dose not exceeding 100mg/m2. Herceptin will be administered intravenously on a weekly schedule; a 4mg/kg loading dose will be followed by a weekly maintenance dose of 2mg/kg. The anticipated time on study treatment is until disease progression, and the target sample size is \<100 individuals.",yes,Her2+
428,NCT04639986,3,"Active, not recruiting",breast cancer,VINORELBINE TARTRATE,Tubulin inhibitor,INHIBITOR,tubulin beta 8 class VIII,TUBB8,Small molecule,"The goal of this study is to compare the study drug, sacituzumab govitecan-hziy, versus doctors' treatment of choice in participants with HR+/HER2- metastatic breast cancer (MBC) who have failed at least 2 prior chemotherapy regimens.",yes,HR+/Her2-
447,NCT05033769,4,Recruiting,breast cancer,ERIBULIN,Tubulin inhibitor,INHIBITOR,tubulin beta 8 class VIII,TUBB8,Small molecule,"After progression of disease after one chemotherapy, metastatic breast cancer patients will be randomized 1:1 to one of the following treatment arms:

Arm A. Eribulin Arm B. Paclitaxel

Blood draws for immune analysis will be performed before start of therapy, on day 1 of cycle 2 and on day 21 of cycle 4 (end of therapy) for the primary study aim. Patients will be treated under study conditions for a maximum of 4 therapy cycles.",yes,NA
32,NCT00063102,2,Completed,breast cancer,ABT-751,Tubulin beta inhibitor,INHIBITOR,tubulin beta 8B,TUBB8B,Small molecule,"The purpose of the study is to determine if ABT-751 will decrease tumors, and determine how long the tumor shrinkage can be maintained in patients with breast cancer after having had taxol or taxotere. Patients will receive ABT-751 by mouth daily for 21 days. Patients will be off drug for 7 days before starting the next cycle of drug.",yes,NA
53,NCT00152178,3,Completed,breast cancer,TEGAFUR,Thymidylate synthase inhibitor,INHIBITOR,thymidylate synthetase,TYMS,Small molecule,"This controlled study is designed to evaluate the relapse-free survival of UFT + TAM compared with CMF + TAM. Patients are randomly assigned to receive either CMF + TAM or UFT + TAM within 6 weeks after surgery. To assess treatment efficacy, data on recurrence and survival will be collected for 5 years after surgery. To evaluate the safety, data on adverse events will be collected during treatment. Patients'quality of life will be assessed by means of a questionnaire.",yes,NA
81,NCT00433420,3,"Active, not recruiting",breast cancer,FLUOROURACIL,Thymidylate synthase inhibitor,INHIBITOR,thymidylate synthetase,TYMS,Small molecule,"RATIONALE: Drugs used in chemotherapy, such as epirubicin, cyclophosphamide, paclitaxel, and fluorouracil, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving more than one drug (combination chemotherapy) may kill more tumor cells. Colony-stimulating factors, such as pegfilgrastim, may increase the number of immune cells found in bone marrow or peripheral blood and may help the immune system recover from the side effects of chemotherapy. Giving combination chemotherapy and pegfilgrastim after surgery may kill any tumor cells that remain after surgery. It is not yet known whether combination chemotherapy is more effective with or without fluorouracil and/or pegfilgrastim in treating breast cancer.

PURPOSE: This randomized phase III trial is studying combination chemotherapy to compare how well it works when given with or without fluorouracil and/or pegfilgrastim in treating women with node-positive breast cancer.",yes,NA
